--------------------------------------------------------------------------------
Process Log Fri Apr 26 22:39:06 2019
--------------------------------------------------------------------------------
{'username': 'pratikbali', 'pid': 335, 'name': 'swcd', 'vms': 4231L} 
{'username': 'pratikbali', 'pid': 336, 'name': 'assistantd', 'vms': 4253L} 
{'username': 'pratikbali', 'pid': 339, 'name': 'corespeechd', 'vms': 4203L} 
{'username': 'pratikbali', 'pid': 341, 'name': 'SocialPushAgent', 'vms': 4229L} 
{'username': 'pratikbali', 'pid': 344, 'name': 'dmd', 'vms': 4231L} 
{'username': 'pratikbali', 'pid': 345, 'name': 'Siri', 'vms': 4246L} 
{'username': 'pratikbali', 'pid': 346, 'name': 'icdd', 'vms': 4232L} 
{'username': 'pratikbali', 'pid': 347, 'name': 'FrontendAgent', 'vms': 4297L} 
{'username': 'pratikbali', 'pid': 350, 'name': 'NotificationAgent', 'vms': 4253L} 
{'username': 'pratikbali', 'pid': 351, 'name': 'AirPlayUIAgent', 'vms': 4746L} 
{'username': 'pratikbali', 'pid': 352, 'name': 'knowledge-agent', 'vms': 4235L} 
{'username': 'pratikbali', 'pid': 353, 'name': 'cloudpaird', 'vms': 4231L} 
{'username': 'pratikbali', 'pid': 354, 'name': 'nbagent', 'vms': 4246L} 
{'username': 'pratikbali', 'pid': 355, 'name': 'diagnostics_agent', 'vms': 4231L} 
{'username': 'pratikbali', 'pid': 357, 'name': 'adprivacyd', 'vms': 4233L} 
{'username': 'pratikbali', 'pid': 363, 'name': 'nsurlstoraged', 'vms': 4232L} 
{'username': 'pratikbali', 'pid': 365, 'name': 'ContainerMetadataExtractor', 'vms': 4235L} 
{'username': 'pratikbali', 'pid': 366, 'name': 'SafeEjectGPUAgent', 'vms': 4708L} 
{'username': 'pratikbali', 'pid': 367, 'name': 'SafeEjectGPUService', 'vms': 4231L} 
{'username': 'pratikbali', 'pid': 374, 'name': 'videosubscriptionsd', 'vms': 4230L} 
{'username': 'pratikbali', 'pid': 378, 'name': 'FSMenuApp', 'vms': 4797L} 
{'username': 'pratikbali', 'pid': 381, 'name': 'pbs', 'vms': 4235L} 
{'username': 'pratikbali', 'pid': 384, 'name': 'followupd', 'vms': 4203L} 
{'username': 'pratikbali', 'pid': 394, 'name': 'ProtectedCloudKeySyncing', 'vms': 4230L} 
{'username': 'pratikbali', 'pid': 398, 'name': 'deleted', 'vms': 4232L} 
{'username': 'pratikbali', 'pid': 420, 'name': 'media-indexer', 'vms': 4283L} 
{'username': 'pratikbali', 'pid': 421, 'name': 'com.apple.iTunesLibraryService', 'vms': 4232L} 
{'username': 'pratikbali', 'pid': 422, 'name': 'AudioComponentRegistrar', 'vms': 4231L} 
{'username': 'pratikbali', 'pid': 423, 'name': 'IMRemoteURLConnectionAgent', 'vms': 4231L} 
{'username': 'pratikbali', 'pid': 424, 'name': 'IMRemoteURLConnectionAgent', 'vms': 4231L} 
{'username': 'pratikbali', 'pid': 426, 'name': 'IMRemoteURLConnectionAgent', 'vms': 4203L} 
{'username': 'pratikbali', 'pid': 428, 'name': 'IMRemoteURLConnectionAgent', 'vms': 4231L} 
{'username': 'pratikbali', 'pid': 429, 'name': 'com.apple.audio.SandboxHelper', 'vms': 4204L} 
{'username': 'pratikbali', 'pid': 438, 'name': 'CoreServicesUIAgent', 'vms': 4251L} 
{'username': 'pratikbali', 'pid': 439, 'name': 'softwareupdate_notify_agent', 'vms': 4204L} 
{'username': 'pratikbali', 'pid': 442, 'name': 'storelegacy', 'vms': 4231L} 
{'username': 'pratikbali', 'pid': 443, 'name': 'storeassetd', 'vms': 4267L} 
{'username': 'pratikbali', 'pid': 444, 'name': 'LaterAgent', 'vms': 4246L} 
{'username': 'pratikbali', 'pid': 450, 'name': 'AssetCacheLocatorService', 'vms': 4234L} 
{'username': 'pratikbali', 'pid': 459, 'name': 'SiriNCService', 'vms': 4746L} 
{'username': 'pratikbali', 'pid': 461, 'name': 'SafariBookmarksSyncAgent', 'vms': 4234L} 
{'username': 'pratikbali', 'pid': 462, 'name': 'assistant_service', 'vms': 4238L} 
{'username': 'pratikbali', 'pid': 495, 'name': 'cloudphotosd', 'vms': 4282L} 
{'username': 'pratikbali', 'pid': 496, 'name': 'com.apple.CloudPhotosConfiguration', 'vms': 4230L} 
{'username': 'pratikbali', 'pid': 506, 'name': 'corespotlightd', 'vms': 4374L} 
{'username': 'pratikbali', 'pid': 507, 'name': 'suggestd', 'vms': 4374L} 
{'username': 'pratikbali', 'pid': 508, 'name': 'photolibraryd', 'vms': 4266L} 
{'username': 'pratikbali', 'pid': 509, 'name': 'ScopedBookmarkAgent', 'vms': 4205L} 
{'username': 'pratikbali', 'pid': 510, 'name': 'com.apple.photomoments', 'vms': 4256L} 
{'username': 'pratikbali', 'pid': 511, 'name': 'photoanalysisd', 'vms': 4258L} 
{'username': 'pratikbali', 'pid': 512, 'name': 'com.apple.PhotoIngestService', 'vms': 4230L} 
{'username': 'pratikbali', 'pid': 517, 'name': 'com.apple.quicklook.ThumbnailsAgent', 'vms': 4229L} 
{'username': 'pratikbali', 'pid': 520, 'name': 'storedownloadd', 'vms': 4233L} 
{'username': 'pratikbali', 'pid': 526, 'name': 'com.apple.MediaLibraryService', 'vms': 4261L} 
{'username': 'pratikbali', 'pid': 529, 'name': 'mdwrite', 'vms': 4231L} 
{'username': 'pratikbali', 'pid': 531, 'name': 'atsd', 'vms': 4237L} 
{'username': 'pratikbali', 'pid': 532, 'name': 'OSDUIHelper', 'vms': 4777L} 
{'username': 'pratikbali', 'pid': 538, 'name': 'com.apple.SafariServices', 'vms': 4230L} 
{'username': 'pratikbali', 'pid': 542, 'name': 'Electron', 'vms': 5675L} 
