--------------------------------------------------------------------------------
Process Log Fri Apr 26 19:28:06 2019
--------------------------------------------------------------------------------
{'name': 'svchost.exe', 'username': None, 'pid': 3668, 'vms': 2.18359375} 
{'name': 'PresentationFontCache.exe', 'username': None, 'pid': 3688, 'vms': 24.578125} 
{'name': 'svchost.exe', 'username': None, 'pid': 3748, 'vms': 5.08203125} 
{'name': 'svchost.exe', 'username': None, 'pid': 3792, 'vms': 3.4375} 
{'name': 'WinStore.App.exe', 'username': 'NTNET\\pratibal', 'pid': 3880, 'vms': 32.87890625} 
{'name': 'Code.exe', 'username': 'NTNET\\pratibal', 'pid': 3892, 'vms': 177.015625} 
{'name': 'ss_conn_service.exe', 'username': None, 'pid': 3916, 'vms': 2.48046875} 
{'name': 'cmd.exe', 'username': 'NTNET\\pratibal', 'pid': 3992, 'vms': 3.9921875} 
{'name': 'svchost.exe', 'username': None, 'pid': 4020, 'vms': 8.61328125} 
{'name': 'spoolsv.exe', 'username': None, 'pid': 4212, 'vms': 11.4921875} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 4316, 'vms': 242.17578125} 
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 4468, 'vms': 45.25390625} 
{'name': 'AmdocsSIMS.exe', 'username': None, 'pid': 4516, 'vms': 54.0} 
{'name': 'svchost.exe', 'username': None, 'pid': 4528, 'vms': 6.0} 
{'name': 'OfficeClickToRun.exe', 'username': None, 'pid': 4536, 'vms': 41.8046875} 
{'name': 'armsvc.exe', 'username': None, 'pid': 4544, 'vms': 1.96484375} 
{'name': 'svchost.exe', 'username': None, 'pid': 4552, 'vms': 6.8828125} 
{'name': 'svchost.exe', 'username': None, 'pid': 4560, 'vms': 11.02734375} 
{'name': 'HidMonitorSvc.exe', 'username': None, 'pid': 4584, 'vms': 2.1953125} 
{'name': 'esif_uf.exe', 'username': None, 'pid': 4620, 'vms': 2.29296875} 
{'name': 'svchost.exe', 'username': None, 'pid': 4636, 'vms': 49.20703125} 
{'name': 'F5InstallerService.exe', 'username': None, 'pid': 4656, 'vms': 3.46875} 
{'name': 'IntelCpHDCPSvc.exe', 'username': None, 'pid': 4668, 'vms': 1.84765625} 
{'name': 'chrome.exe', 'username': 'NTNET\\pratibal', 'pid': 4692, 'vms': 82.40625} 
{'name': 'discagnt.exe', 'username': None, 'pid': 4704, 'vms': 6.41796875} 
{'name': 'F5FltSrv.exe', 'username': None, 'pid': 4716, 'vms': 3.67578125} 
{'name': 'F5CredMgrSrv.exe', 'username': None, 'pid': 4748, 'vms': 2.95703125} 
{'name': 'F5TrafficSrv.exe', 'username': None, 'pid': 4756, 'vms': 1.3125} 
{'name': 'F5MachineCertService.exe', 'username': None, 'pid': 4780, 'vms': 2.1171875} 
{'name': 'svchost.exe', 'username': None, 'pid': 4860, 'vms': 3.05078125} 
{'name': 'PFERemediation.exe', 'username': None, 'pid': 4920, 'vms': 17.60546875} 
{'name': 'svchost.exe', 'username': None, 'pid': 4936, 'vms': 2.09375} 
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 4988, 'vms': 5.08203125} 
{'name': 'ccSvcHst.exe', 'username': None, 'pid': 5044, 'vms': 250.01171875} 
{'name': 'svchost.exe', 'username': None, 'pid': 5076, 'vms': 2.671875} 
{'name': 'svchost.exe', 'username': None, 'pid': 5084, 'vms': 1.859375} 
{'name': 'Wanova.Desktop.Service.exe', 'username': None, 'pid': 5112, 'vms': 1373.01953125} 
{'name': 'WavesSysSvc64.exe', 'username': None, 'pid': 5144, 'vms': 3.578125} 
{'name': 'svchost.exe', 'username': None, 'pid': 5160, 'vms': 5.55859375} 
{'name': 'kvoop.exe', 'username': None, 'pid': 5200, 'vms': 2.10546875} 
